district,Ratio,Population,Footfall
"Medak ",5452570,767428,7.1050
Hyderabad,14121662,3943323,3.5812
"Jagtial ",3086115,985417,3.1318
"Sangareddy ",4553160,1527628,2.9805
"Nagarkurnool ",2093511,861766,2.4293
Adilabad,775901,708972,1.0944
"Jangaon ",328890,566376,0.5807
"Wanaparthy ",298639,577758,0.5169
"Karimnagar ",77491,1005711,0.0771
"Kamareddy ",534,972625,0.0005
